drug,matched_S1_entry,name_match,status,formula_pubchem,formula_S1,smiles_pubchem,smiles_S1
Norfloxacin,norfloxacin,exact,identical,C16H18FN3O3,C16H18FN3O3,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,CCN1c2c(cc(F)c(N3CCNCC3)c2)C(=O)C(C(=O)O)=C1
Chlorphenesin,chlorphenesin,exact,identical,C9H11ClO3,C9H11ClO3,C1=CC(=CC=C1OCC(CO)O)Cl,OCC(COc1ccc(Cl)cc1)O
Bupropion,bupropion,exact,identical,C13H18ClNO,C13H18ClNO,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,CC(C(c1cccc(Cl)c1)=O)NC(C)(C)C
Methyldopa,methyldopa,exact,identical,C10H13NO4,C10H13NO4,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,CC(C(=O)O)(Cc1ccc(O)c(O)c1)N
Dofetilide,dofetilide,exact,identical,C19H27N3O5S2,C19H27N3O5S2,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,CN(CCc1ccc(NS(=O)(=O)C)cc1)CCOc2ccc(NS(=O)(=O)C)cc2
Levodopa,levodopa,exact,identical,C9H11NO4,C9H11NO4,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,NC(C(=O)O)Cc1ccc(O)c(O)c1
Guaifenesin,guaifenesin,exact,identical,C10H14O4,C10H14O4,COC1=CC=CC=C1OCC(CO)O,COc1ccccc1OCC(CO)O
Diethylpropion,diethylpropion,exact,identical,C13H19NO,C13H19NO,CCN(CC)C(C)C(=O)C1=CC=CC=C1,CCN(C(C(c1ccccc1)=O)C)CC
Carbidopa,carbidopa,exact,identical,C10H14N2O4,C10H14N2O4,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,CC(C(=O)O)(NN)Cc1ccc(O)c(O)c1
Imipramine,imipramine,exact,identical,C19H24N2,C19H24N2,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CN(CCCN1c2c(cccc2)CCc3c1cccc3)C
Selegiline,selegiline,exact,identical,C13H17N,C13H17N,CC(CC1=CC=CC=C1)N(C)CC#C,CC(N(CC#C)C)Cc1ccccc1
Guanfacine,guanfacine,exact,identical,C9H9Cl2N3O,C9H9Cl2N3O,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,NC(NC(Cc1c(Cl)cccc1Cl)=O)=N
Doxepin,doxepin,exact,identical,C19H21NO,C19H21NO,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,CN(CCC=C1c2c(cccc2)OCc3c1cccc3)C
Methocarbamol,methocarbamol,exact,identical,C11H15NO5,C11H15NO5,COC1=CC=CC=C1OCC(COC(=O)N)O,COc1ccccc1OCC(COC(=O)N)O
Chlophedianol,chlophedianol,exact,identical,C17H20ClNO,C17H20ClNO,CN(C)CCC(C1=CC=CC=C1)(C2=CC=CC=C2Cl)O,CN(CCC(c1ccccc1Cl)(c2ccccc2)O)C
Fluoxetine,fluoxetine,exact,identical,C17H18F3NO,C17H18F3NO,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,CNCCC(c1ccccc1)Oc2ccc(C(F)(F)F)cc2
melatonin,melatonin,case_insensitive,identical,C13H16N2O2,C13H16N2O2,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,COc1ccc2c(c(CCNC(=O)C)c[nH]2)c1
Iprindole,iprindole,exact,identical,C19H28N2,C19H28N2,CN(C)CCCN1C2=C(CCCCCC2)C3=CC=CC=C31,CN(CCCn1c(c2c(c13)cccc3)CCCCCC2)C
Amitriptyline,amitriptyline,exact,identical,C20H23N,C20H23N,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CN(CCC=C1c2c(cccc2)CCc3c1cccc3)C
tolbutamide,tolbutamide,case_insensitive,identical,C12H18N2O3S,C12H18N2O3S,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,CCCCNC(NS(c1ccc(C)cc1)(=O)=O)=O
Valsartan,valsartan,exact,identical,C24H29N5O3,C24H29N5O3,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,CCCCC(N(C(C(=O)O)C(C)C)Cc1ccc(c2ccccc2c3nn[nH]n3)cc1)=O
Losartan,losartan,exact,identical,C22H23ClN6O,C22H23ClN6O,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,CCCCc1n(Cc2ccc(c3ccccc3c4nn[nH]n4)cc2)c(CO)c(Cl)n1
Telmisartan,telmisartan,exact,identical,C33H30N4O2,C33H30N4O2,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,CCCc1n(Cc2ccc(c3ccccc3C(=O)O)cc2)c4c(c(C)cc(c5n(C)c6c(cccc6)n5)c4)n1
Eprosartan,eprosartan,exact,identical,C23H24N2O4S,C23H24N2O4S,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C(CC3=CC=CS3)C(=O)O,CCCCc1n(Cc2ccc(C(=O)O)cc2)c(C=C(C(=O)O)Cc3sccc3)cn1
Irbesartan,irbesartan,exact,identical,C25H28N6O,C25H28N6O,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,CCCCC(N(Cc1ccc(c2ccccc2c3nn[nH]n3)cc1)C(=O)C45CCCC4)=N5
Olmesartan,olmesartan,exact,different_compound,C24H26N6O3,C29H30N6O6,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,CCCc1n(Cc2ccc(c3ccccc3c4nn[nH]n4)cc2)c(C(OCC(OC(=O)O5)=C5C)=O)c(C(O)(C)C)n1
Candesartan,candesartan,exact,identical,C24H20N6O3,C24H20N6O3,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,CCOc1n(Cc2ccc(c3ccccc3c4nn[nH]n4)cc2)c5c(cccc5C(=O)O)n1
Gabapentin,gabapentin,exact,identical,C9H17NO2,C9H17NO2,C1CCC(CC1)(CC(=O)O)CN,NCC1(CCCCC1)CC(=O)O
Testolactone,testolactone,exact,identical,C19H24O3,C19H24O3,CC12CCC3C(C1CCC(=O)O2)CCC4=CC(=O)C=CC34C,[H]C1(C([H])(C2(C)CC3)CCC(=O)O2)C3([H])C(C)(C(=C4)CC1)C=CC4=O
Beclomethasone,beclomethasone,exact,identical,C22H29ClO5,C22H29ClO5,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C,[H]C1(C2([H])C(C(C)(C(=C3)CC2)C=CC3=O)(Cl)C(O)C4)C4(C)C(C(CO)=O)(O)C(C)C1
Hyoscyamine,hyoscyamine,exact,identical,C17H23NO3,C17H23NO3,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,[H]C1(N(C)C2([H])CC1)CC(OC(C(c3ccccc3)CO)=O)C2
Norepinephrine,norepinephrine,exact,identical,C8H11NO3,C8H11NO3,C1=CC(=C(C=C1C(CN)O)O)O,NCC(c1ccc(O)c(O)c1)O
Phenacemide,phenacemide,exact,identical,C9H10N2O2,C9H10N2O2,C1=CC=C(C=C1)CC(=O)NC(=O)N,NC(NC(Cc1ccccc1)=O)=O
Nabumetone,nabumetone,exact,identical,C15H16O2,C15H16O2,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,COc1ccc2c(ccc(CCC(=O)C)c2)c1
Acetaminophen,acetaminophen,exact,identical,C8H9NO2,C8H9NO2,CC(=O)NC1=CC=C(C=C1)O,CC(Nc1ccc(O)cc1)=O
Fenfluramine,fenfluramine,exact,identical,C12H16F3N,C12H16F3N,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,CCNC(Cc1cccc(C(F)(F)F)c1)C
Zolpidem,zolpidem,exact,identical,C19H21N3O,C19H21N3O,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,CN(C(Cc1n(c2nc1c3ccc(C)cc3)cc(C)cc2)=O)C
Epinephrine,epinephrine,exact,identical,C9H13NO3,C9H13NO3,CNCC(C1=CC(=C(C=C1)O)O)O,CNCC(c1ccc(O)c(O)c1)O
Timodepressin,timodepressin,exact,identical,C16H19N3O5,C16H19N3O5,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)CCC(C(=O)O)N,c(cccc1)(c(CC(C(=O)O)NC(=O)CCC(N)C(=O)O)c[nH]2)c12
Oxazepam,oxazepam,exact,identical,C15H11ClN2O2,C15H11ClN2O2,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,OC1C(=O)Nc2c(cc(Cl)cc2)C(c3ccccc3)=N1
Camazepam,camazepam,exact,identical,C19H18ClN3O3,C19H18ClN3O3,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)OC(=O)N(C)C)C3=CC=CC=C3,CN(C(OC1C(=O)N(C)c2c(cc(Cl)cc2)C(c3ccccc3)=N1)=O)C
Nordazepam,nordazepam,exact,identical,C15H11ClN2O,C15H11ClN2O,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,O=C1Nc(c2C(c3ccccc3)=NC1)ccc(Cl)c2
Temazepam,temazepam,exact,identical,C16H13ClN2O2,C16H13ClN2O2,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,CN1C(=O)C(O)N=C(c2ccccc2)c3c1ccc(Cl)c3
Nitrazepam,nitrazepam,exact,identical,C15H11N3O3,C15H11N3O3,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,[O-][N+](c1ccc2c(C(c3ccccc3)=NCC(=O)N2)c1)=O
Lorazepam,lorazepam,exact,identical,C15H10Cl2N2O2,C15H10Cl2N2O2,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,OC1C(=O)Nc2c(cc(Cl)cc2)C(c3ccccc3Cl)=N1
Bromazepam,bromazepam,exact,identical,C14H10BrN3O,C14H10BrN3O,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,Brc1ccc2c(C(c3ccccn3)=NCC(=O)N2)c1
Benazepril,benazepril,exact,identical,C24H28N2O5,C24H28N2O5,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,CCOC(C(NC1C(=O)N(CC(=O)O)c2c(cccc2)CC1)CCc3ccccc3)=O
Flurazepam,flurazepam,exact,identical,C21H23ClFN3O,C21H23ClFN3O,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,CCN(CCN1C(=O)CN=C(c2ccccc2F)c3c1ccc(Cl)c3)CC
Famotidine,famotidine,exact,identical,C8H15N7O2S3,C8H15N7O2S3,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,NC(=Nc1scc(CSCCC(=NS(=O)(=O)N)N)n1)N
Celecoxib,celecoxib,exact,identical,C17H14F3N3O2S,C17H14F3N3O2S,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Cc1ccc(c2n(c3ccc(S(=O)(=O)N)cc3)nc(C(F)(F)F)c2)cc1
Tolazamide,tolazamide,exact,identical,C14H21N3O3S,C14H21N3O3S,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,Cc1ccc(S(NC(NN2CCCCCC2)=O)(=O)=O)cc1
Phenindamine,phenindamine,exact,identical,C19H19N,C19H19N,CN1CCC2=C(C1)C(C3=CC=CC=C23)C4=CC=CC=C4,CN1CC2=C(c3c(cccc3)C2c4ccccc4)CC1
Clomipramine,clomipramine,exact,identical,C19H23ClN2,C19H23ClN2,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,CN(CCCN1c(c2CCc(c13)cccc3)cc(Cl)cc2)C
Glutethimide,glutethimide,exact,identical,C13H15NO2,C13H15NO2,CCC1(CCC(=O)NC1=O)C2=CC=CC=C2,CCC1(c2ccccc2)C(=O)NC(=O)CC1
Atropine,atropine,exact,identical,C17H23NO3,C17H23NO3,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,[H]C1(N(C)C2([H])CC1)CC(OC(C(c3ccccc3)CO)=O)C2
Diazepam,diazepam,exact,identical,C16H13ClN2O,C16H13ClN2O,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CN1C(=O)CN=C(c2ccccc2)c3c1ccc(Cl)c3
Procyclidine,procyclidine,exact,identical,C19H29NO,C19H29NO,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,OC(c1ccccc1)(C2CCCCC2)CCN3CCCC3
Fexofenadine,fexofenadine,exact,identical,C32H39NO4,C32H39NO4,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,CC(c1ccc(C(CCCN2CCC(C(c3ccccc3)(c4ccccc4)O)CC2)O)cc1)(C(=O)O)C
Lisinopril,lisinopril,exact,identical,C21H31N3O5,C21H31N3O5,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,NCCCCC(C(N1C(C(=O)O)CCC1)=O)NC(C(=O)O)CCc2ccccc2
Indapamide,indapamide,exact,identical,C16H16ClN3O3S,C16H16ClN3O3S,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,CC1N(NC(c2ccc(Cl)c(S(=O)(=O)N)c2)=O)c3c(cccc3)C1
Carteolol,carteolol,exact,identical,C16H24N2O3,C16H24N2O3,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,CC(NCC(COc1cccc(c12)NC(=O)CC2)O)(C)C
Bezafibrate,bezafibrate,exact,identical,C19H20ClNO4,C19H20ClNO4,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,CC(C(=O)O)(Oc1ccc(CCNC(c2ccc(Cl)cc2)=O)cc1)C
Acetohexamide,acetohexamide,exact,identical,C15H20N2O4S,C15H20N2O4S,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,CC(c1ccc(S(NC(NC2CCCCC2)=O)(=O)=O)cc1)=O
Phenylbutyrate,phenylbutyrate,exact,identical,C10H12O2,C10H12O2,C1=CC=C(C=C1)CCCC(=O)O,OC(CCCc1ccccc1)=O
chlorpropamide,chlorpropamide,case_insensitive,identical,C10H13ClN2O3S,C10H13ClN2O3S,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,CCCNC(NS(c1ccc(Cl)cc1)(=O)=O)=O
Alprostadil,alprostadil,exact,identical,C20H34O5,C20H34O5,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,CCCCCC(C=CC1C(CCCCCCC(=O)O)C(=O)CC1O)O
Cetirizine,cetirizine,exact,identical,C21H25ClN2O3,C21H25ClN2O3,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,OC(COCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1)=O
Bisoprolol,bisoprolol,exact,identical,C18H31NO4,C18H31NO4,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,CC(NCC(COc1ccc(COCCOC(C)C)cc1)O)C
Cyclopentolate,cyclopentolate,exact,identical,C17H25NO3,C17H25NO3,CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O,CN(CCOC(C(C1(CCCC1)O)c2ccccc2)=O)C
Ramipril,ramipril,exact,identical,C23H32N2O5,C23H32N2O5,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O,[H]C1(CC(C(=O)O)N2C(C(NC(C(OCC)=O)CCc3ccccc3)C)=O)C2([H])CCC1
Hydroxyzine,hydroxyzine,exact,identical,C21H27ClN2O2,C21H27ClN2O2,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,OCCOCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1
fludrocortisone,fludrocortisone,case_insensitive,identical,C21H29FO5,C21H29FO5,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,[H]C1(C2([H])C(C(C)(C(=C3)CC2)CCC3=O)(F)C(O)([H])C4)C4(C)C(C(CO)=O)(O)CC1
Efavirenz,efavirenz,exact,identical,C14H9ClF3NO2,C14H9ClF3NO2,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,FC(C1(C#CC2CC2)c(c3NC(=O)O1)cc(Cl)cc3)(F)F
Sulfanilamide,sulfanilamide,exact,identical,C6H8N2O2S,C6H8N2O2S,C1=CC(=CC=C1N)S(=O)(=O)N,Nc1ccc(S(=O)(=O)N)cc1
probucol,probucol,case_insensitive,identical,C31H48O2S2,C31H48O2S2,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,CC(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(Sc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)C
Fenclofenac,fenclofenac,exact,identical,C14H10Cl2O3,C14H10Cl2O3,C1=CC=C(C(=C1)CC(=O)O)OC2=C(C=C(C=C2)Cl)Cl,OC(Cc1c(Oc2c(Cl)cc(Cl)cc2)cccc1)=O
Baclofen,baclofen,exact,identical,C10H12ClNO2,C10H12ClNO2,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,NCC(c1ccc(Cl)cc1)CC(=O)O
Pirprofen,pirprofen,exact,identical,C13H14ClNO2,C13H14ClNO2,CC(C1=CC(=C(C=C1)N2CC=CC2)Cl)C(=O)O,CC(c1cc(Cl)c(N2CC=CC2)cc1)C(=O)O
Gemfibrozil,gemfibrozil,exact,identical,C15H22O3,C15H22O3,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,Cc1ccc(C)c(OCCCC(C(=O)O)(C)C)c1
Methsuximide,methsuximide,exact,identical,C12H13NO2,C12H13NO2,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,CN1C(=O)C(c2ccccc2)(C)CC1=O
Mebendazole,mebendazole,exact,identical,C16H13N3O3,C16H13N3O3,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,COC(Nc1[nH]c2c(ccc(C(c3ccccc3)=O)c2)n1)=O
Phensuximide,phensuximide,exact,identical,C11H11NO2,C11H11NO2,CN1C(=O)CC(C1=O)C2=CC=CC=C2,CN1C(=O)C(c2ccccc2)CC1=O
Glibenclamide,glibenclamide,exact,identical,C23H28ClN3O5S,C23H28ClN3O5S,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,COc1ccc(Cl)cc1C(NCCc2ccc(S(NC(NC3CCCCC3)=O)(=O)=O)cc2)=O
Doxazosin,doxazosin,exact,identical,C23H25N5O5,C23H25N5O5,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,COc1c(OC)cc2c(nc(N3CCN(C(C4Oc5c(cccc5)OC4)=O)CC3)nc2N)c1
Quinapril,quinapril,exact,identical,C25H30N2O5,C25H30N2O5,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O,CCOC(C(NC(C(N1C(C(=O)O)Cc2c(cccc2)C1)=O)C)CCc3ccccc3)=O
Praziquantel,praziquantel,exact,identical,C19H24N2O2,C19H24N2O2,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,O=C(N1CC(=O)N2C(c3c(cccc3)CC2)C1)C4CCCCC4
Enalapril,enalapril,exact,identical,C20H28N2O5,C20H28N2O5,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O,CCOC(C(NC(C(N1C(C(=O)O)CCC1)=O)C)CCc2ccccc2)=O
Naproxen,naproxen,exact,identical,C14H14O3,C14H14O3,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,COc1ccc2c(ccc(C(C(=O)O)C)c2)c1
indomethacin,indomethacin,case_insensitive,identical,C19H16ClNO4,C19H16ClNO4,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,COc1ccc2c(c(CC(=O)O)c(C)n2C(c3ccc(Cl)cc3)=O)c1
Hydrocodone,hydrocodone,exact,identical,C18H21NO3,C18H21NO3,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(=O)CC4,[H]C1(C(=O)CC2)C3(C2([H])C4([H])N(C)CC3)c(c5O1)c(C4)ccc5OC
Buprenorphine,buprenorphine,exact,identical,C29H41NO4,C29H41NO4,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,COC1(C(C(C(C)(C)C)(O)C)C2)CCC2(C3(c(c45)c(ccc4O)C6)C1O5)C6N(CC7CC7)CC3
Naftifine,naftifine,exact,identical,C21H21N,C21H21N,CN(CC=CC1=CC=CC=C1)CC2=CC=CC3=CC=CC=C32,CN(Cc1c2c(cccc2)ccc1)CC=Cc3ccccc3
Testosterone,testosterone,exact,identical,C19H28O2,C19H28O2,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,[H]C1(C2([H])C(C(C)(C(=C3)CC2)CCC3=O)([H])CC4)C4(C)C(O)CC1
Raloxifene,raloxifene,exact,identical,C28H27NO4S,C28H27NO4S,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,Oc1ccc(c2sc3c(ccc(O)c3)c2C(c4ccc(OCCN5CCCCC5)cc4)=O)cc1
Pilocarpine,pilocarpine,exact,identical,C11H16N2O2,C11H16N2O2,CCC1C(COC1=O)CC2=CN=CN2C,CCC1C(=O)OCC1Cc2n(C)cnc2
Disopyramide,disopyramide,exact,identical,C21H29N3O,C21H29N3O,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,CC(N(C(C)C)CCC(c1ccccn1)(c2ccccc2)C(=O)N)C
Terguride,terguride,exact,identical,C20H28N4O,C20H28N4O,CCN(CC)C(=O)NC1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)C,CCN(C(NC1CN(C)C2C(c(c(c3[nH]c4)c4C2)ccc3)C1)=O)CC
Pyrimethamine,pyrimethamine,exact,identical,C12H13ClN4,C12H13ClN4,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,CCc1c(c2ccc(Cl)cc2)c(N)nc(N)n1
Finasteride,finasteride,exact,identical,C23H36N2O2,C23H36N2O2,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,[H]C1(C2([H])C(C(C)(C3([H])CC2)C=CC(=O)N3)([H])CC4)C4(C)C(C(NC(C)(C)C)=O)CC1
genistein,genistein,case_insensitive,identical,C15H10O5,C15H10O5,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Oc1ccc(C(C(=O)c2c(cc(O)cc2O)O3)=C3)cc1
Sumatriptan,sumatriptan,exact,identical,C14H21N3O2S,C14H21N3O2S,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,CNS(Cc1ccc2c(c(CCN(C)C)c[nH]2)c1)(=O)=O
Carprofen,carprofen,exact,identical,C15H12ClNO2,C15H12ClNO2,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,CC(c1ccc2c([nH]c3c2cc(Cl)cc3)c1)C(=O)O
Thalidomide,thalidomide,exact,identical,C13H10N2O4,C13H10N2O4,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,O=C1c2c(cccc2)C(=O)N1C3C(=O)NC(=O)CC3
Testosterone_Propionate,testosterone,suffix_stripped,different_compound,C22H32O3,C19H28O2,CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,[H]C1(C2([H])C(C(C)(C(=C3)CC2)CCC3=O)([H])CC4)C4(C)C(O)CC1
Hesperetin,hesperetin,exact,identical,C16H14O6,C16H14O6,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,COc1ccc(C2Oc3c(c(O)cc(O)c3)C(=O)C2)cc1O
Warfarin,warfarin,exact,tautomer_or_stereo,C19H16O4,C19H16O4,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,CC(CC(C(C(=O)c1c(cccc1)O2)=C2O)c3ccccc3)=O
prednisolone,prednisolone,case_insensitive,identical,C21H28O5,C21H28O5,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,[H]C1(C2([H])C(C(C)(C(=C3)CC2)C=CC3=O)([H])C(O)C4)C4(C)C(C(CO)=O)(O)CC1
Sulfamethoxazole,sulfamethoxazole,exact,identical,C10H11N3O3S,C10H11N3O3S,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,Cc1onc(NS(c2ccc(N)cc2)(=O)=O)c1
propranolol,propranolol,exact,identical,C16H21NO2,C16H21NO2,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,CC(NCC(COc1c2c(cccc2)ccc1)O)C
Vildagliptin,vildagliptin,exact,identical,C17H25N3O2,C17H25N3O2,C1CC(N(C1)C(=O)CNC23CC4CC(C2)CC(C4)(C3)O)C#N,OC1(C2)CC(CC23NCC(N4C(C#N)CCC4)=O)CC(C3)C1
